Customer ID,Customer Name,Email Address,Phone Number,City-Region,Store Name
CUST1,Ahmed Al Faisal,customer1@example.com,x551xxxxx1,Riyadh-Central,Riyadh Central
CUST2,Layla Al-Harbi,customer2@example.com,x551xxxxx2,Jeddah-Mecca,Jeddah Mega Store
CUST3,Omar Al-Ghamdi,customer3@example.com,x551xxxxx3,Dammam-Eastern,Dammam Outlet
CUST4,Sara Al-Qahtani,customer4@example.com,x551xxxxx4,Medina-Western,Medina Digital Hub
CUST5,Fahad Al-Zahrani,customer5@example.com,x551xxxxx5,Mecca-Western,Mecca Electronics
CUST6,Nada Al-Tamimi,customer6@example.com,x551xxxxx6,Riyadh-Central,Riyadh Central
CUST7,Khalid Al-Saadi,customer7@example.com,x551xxxxx7,Jeddah-Mecca,Jeddah Mega Store
CUST8,Aisha Ahmed,customer8@example.com,x551xxxxx8,Dammam-Eastern,Dammam Outlet
CUST9,Saad Al-Mutairi,customer9@example.com,x551xxxxx9,Medina-Western,Medina Digital Hub
CUST10,Mona Al-Rajhi,customer10@example.com,x551xxxx1x,Mecca-Western,Mecca Electronics
CUST11,Abdulrahman Zayed,customer11@example.com,x551xxxx11,Riyadh-Central,Riyadh Central
CUST12,Reem Al-Harbi,customer12@example.com,x551xxxx12,Jeddah-Mecca,Jeddah Mega Store
CUST13,Maha Al-Mutlaq,customer13@example.com,x551xxxx13,Dammam-Eastern,Dammam Outlet
CUST14,Faisal Al-Qahtani,customer14@example.com,x551xxxx14,Medina-Western,Medina Digital Hub
CUST15,Amal Al-Farhan,customer15@example.com,x551xxxx15,Mecca-Western,Mecca Electronics
CUST16,Huda Al-Ahmad,customer16@example.com,x551xxxx16,Riyadh-Central,Riyadh Central
CUST17,Ali Al-Omari,customer17@example.com,x551xxxx17,Jeddah-Mecca,Jeddah Mega Store
CUST18,Yasmin Al-Naim,customer18@example.com,x551xxxx18,Dammam-Eastern,Dammam Outlet
CUST19,Hassan Al-Sharif,customer19@example.com,x551xxxx19,Medina-Western,Medina Digital Hub
CUST20,Noor Al-Hussein,customer20@example.com,x551xxxx2x,Mecca-Western,Mecca Electronics
CUST21,Sultan Al-Ghamdi,customer21@example.com,x551xxxx21,Riyadh-Central,Riyadh Central
CUST22,Rana Al-Bandar,customer22@example.com,x551xxxx22,Jeddah-Mecca,Jeddah Mega Store
CUST23,Bassam Al-Majid,customer23@example.com,x551xxxx23,Dammam-Eastern,Dammam Outlet
CUST24,Sami Al-Bassam,customer24@example.com,x551xxxx24,Medina-Western,Medina Digital Hub
CUST25,Afnan Al-Otaibi,customer25@example.com,x551xxxx25,Mecca-Western,Mecca Electronics
CUST26,Faisal Al-Dossary,customer26@example.com,x551xxxx26,Riyadh-Central,Riyadh Central
CUST27,Zainab Al-Turki,customer27@example.com,x551xxxx27,Jeddah-Mecca,Jeddah Mega Store
CUST28,Rami Al-Fayez,customer28@example.com,x551xxxx28,Dammam-Eastern,Dammam Outlet
CUST29,Yara Al-Juhani,customer29@example.com,x551xxxx29,Medina-Western,Medina Digital Hub
CUST30,Salem Al-Mutlaq,customer30@example.com,x551xxxx3x,Mecca-Western,Mecca Electronics
CUST31,Rasha Al-Harbi,customer31@example.com,x551xxxx31,Riyadh-Central,Riyadh Central
CUST32,Lina Al-Saif,customer32@example.com,x551xxxx32,Jeddah-Mecca,Jeddah Mega Store
CUST33,Hussein Al-Rashid,customer33@example.com,x551xxxx33,Dammam-Eastern,Dammam Outlet
CUST34,Mona Al-Salman,customer34@example.com,x551xxxx34,Medina-Western,Medina Digital Hub
CUST35,Abdullah Al-Tamimi,customer35@example.com,x551xxxx35,Mecca-Western,Mecca Electronics
CUST36,Basma Al-Rajhi,customer36@example.com,x551xxxx36,Riyadh-Central,Riyadh Central
CUST37,Hassan Al-Nasser,customer37@example.com,x551xxxx37,Jeddah-Mecca,Jeddah Mega Store
CUST38,Mariam Al-Qahtani,customer38@example.com,x551xxxx38,Dammam-Eastern,Dammam Outlet
CUST39,Amjad Al-Suwailem,customer39@example.com,x551xxxx39,Medina-Western,Medina Digital Hub
CUST40,Tariq Al-Zamil,customer40@example.com,x551xxxx4x,Mecca-Western,Mecca Electronics
